id,name,name_en,name_de
2701,Adlershof,Adlershof,
2702,Alt-Hohenschönhausen,Alt-Hohenschönhausen,
2703,Alt-Treptow,Alt-Treptow,
2704,Altglienicke,Altglienicke,
2705,Baumschulenweg,Baumschulenweg,
2706,Berlin,Berlin,
2707,Berlin Köpenick,Berlin Köpenick,
2708,Berlin Treptow,Berlin Treptow,
2709,Biesdorf,Biesdorf,
2710,Blankenburg,Blankenburg,
2711,Blankenfelde,Blankenfelde,
2712,Bohnsdorf,Bohnsdorf,
2713,Britz,Britz,
2714,Buch,Buch,
2715,Buckow,Buckow,
2716,Charlottenburg,Charlottenburg,
2717,Charlottenburg-Nord,Charlottenburg-Nord,
2718,Dahlem,Dahlem,
2719,Falkenberg,Falkenberg,
2720,Falkenhagener Feld,Falkenhagener Feld,
2721,Fennpfuhl,Fennpfuhl,
2722,Französisch Buchholz,Französisch Buchholz,
2723,Friedenau,Friedenau,
2724,Friedrichsfelde,Friedrichsfelde,
2725,Friedrichshagen,Friedrichshagen,
2726,Friedrichshain,Friedrichshain,
2727,Frohnau,Frohnau,
2728,Gatow,Gatow,
2729,Gesundbrunnen,Gesundbrunnen,
2730,Gropiusstadt,Gropiusstadt,
2731,Grünau,Grünau,
2732,Grunewald,Grunewald,
2733,Hakenfelde,Hakenfelde,
2734,Halensee,Halensee,
2735,Hansaviertel,Hansaviertel,
2736,Haselhorst,Haselhorst,
2737,Heiligensee,Heiligensee,
2738,Heinersdorf,Heinersdorf,
2739,Hellersdorf,Hellersdorf,
2740,Hermsdorf,Hermsdorf,
2741,Johannisthal,Johannisthal,
2742,Karlshorst,Karlshorst,
2743,Karow,Karow,
2744,Kaulsdorf,Kaulsdorf,
2745,Kladow,Kladow,
2746,Konradshöhe,Konradshöhe,
2747,Köpenick,Köpenick,
2748,Kreuzberg,Kreuzberg,
2749,Lankwitz,Lankwitz,
2750,Lichtenberg,Lichtenberg,
2751,Lichtenrade,Lichtenrade,
2752,Lichterfelde,Lichterfelde,
2753,Lübars,Lübars,
2754,Mahlsdorf,Mahlsdorf,
2755,Mariendorf,Mariendorf,
2756,Marienfelde,Marienfelde,
2757,Märkisches Viertel,Märkisches Viertel,
2758,Marzahn,Marzahn,
2759,Mitte,Mitte,
2760,Moabit,Moabit,
2761,Müggelheim,Müggelheim,
2762,Neu-Hohenschönhausen,Neu-Hohenschönhausen,
2763,Neukölln,Neukölln,
2764,Niederschöneweide,Niederschöneweide,
2765,Niederschönhausen,Niederschönhausen,
2766,Nikolassee,Nikolassee,
2767,Oberschöneweide,Oberschöneweide,
2768,Pankow,Pankow,
2769,Plänterwald,Plänterwald,
2770,Prenzlauer Berg,Prenzlauer Berg,
2771,Rahnsdorf,Rahnsdorf,
2772,Reinickendorf,Reinickendorf,
2773,Rosenthal,Rosenthal,
2774,Rudow,Rudow,
2775,Rummelsburg,Rummelsburg,
2776,Schmargendorf,Schmargendorf,
2777,Schmöckwitz,Schmöckwitz,
2778,Schöneberg,Schöneberg,
2779,Siemensstadt,Siemensstadt,
2780,Spandau,Spandau,
2781,Staaken,Staaken,
2782,Stadtrandsiedlung Malchow,Stadtrandsiedlung Malchow,
2783,Steglitz,Steglitz,
2784,Tegel,Tegel,
2785,Tempelhof,Tempelhof,
2786,Tiergarten,Tiergarten,
2787,Waidmannslust,Waidmannslust,
2788,Wannsee,Wannsee,
2789,Wartenberg,Wartenberg,
2790,Wedding,Wedding,
2791,Weißensee,Weißensee,
2792,Westend,Westend,
2793,Wilhelmsruh,Wilhelmsruh,
2794,Wilhelmstadt,Wilhelmstadt,
2795,Wilmersdorf,Wilmersdorf,
2796,Wittenau,Wittenau,
2797,Zehlendorf,Zehlendorf,
134748,Hohenschönhausen Bezirk,Hohenschönhausen Bezirk,
125262,Adams Center,Adams Center,
125263,Airmont,Airmont,
125264,Alabama,Alabama,
125265,Albany County,Albany County,
125266,Albertson,Albertson,
125267,Alden,Alden,
125268,Alexandria Bay,Alexandria Bay,
125269,Allegany,Allegany,
125270,Amagansett,Amagansett,
125271,Amityville,Amityville,
125272,Angola on the Lake,Angola on the Lake,
125273,Apalachin,Apalachin,
125274,Aquebogue,Aquebogue,
125275,Ardsley,Ardsley,
125276,Armonk,Armonk,
125277,Arrochar,Arrochar,
125278,Arverne,Arverne,
125279,Averill Park,Averill Park,
125280,Babylon,Babylon,
125281,Baiting Hollow,Baiting Hollow,
125282,Baldwin Harbor,Baldwin Harbor,
125283,Baldwinsville,Baldwinsville,
125284,Ballston Spa,Ballston Spa,
125285,Balmville,Balmville,
125286,Bardonia,Bardonia,
125287,Barnum Island,Barnum Island,
125288,Bath Beach,Bath Beach,
125289,Baxter Estates,Baxter Estates,
125290,Bay Park,Bay Park,
125291,Bay Shore,Bay Shore,
125292,Bay Wood,Bay Wood,
125293,Baychester,Baychester,
125294,Beacon,Beacon,
125295,Beaver Dam Lake,Beaver Dam Lake,
125296,Beaverdam Lake-Salisbury Mills,Beaverdam Lake-Salisbury Mills,
125297,Bedford Hills,Bedford Hills,
125298,Belle Harbor,Belle Harbor,
125299,Bellerose,Bellerose,
125300,Bellerose Terrace,Bellerose Terrace,
125301,Bellmore,Bellmore,
125302,Bellport,Bellport,
125303,Bensonhurst,Bensonhurst,
125304,Bergen Beach,Bergen Beach,
125305,Bethpage,Bethpage,
125306,Big Flats,Big Flats,
125307,Billington Heights,Billington Heights,
125308,Binghamton,Binghamton,
125309,Blasdell,Blasdell,
125310,Blauvelt,Blauvelt,
125311,Blue Point,Blue Point,
125312,Borough Park,Borough Park,
125313,Brewerton,Brewerton,
125314,Brewster Hill,Brewster Hill,
125315,Briarcliff Manor,Briarcliff Manor,
125316,Briarwood,Briarwood,
125317,Bridgehampton,Bridgehampton,
125318,Brighton Beach,Brighton Beach,
125319,Brightwaters,Brightwaters,
125320,Brinckerhoff,Brinckerhoff,
125321,Broad Channel,Broad Channel,
125322,Broadalbin,Broadalbin,
125323,Brockport,Brockport,
125324,Brocton,Brocton,
125325,Bronx,Bronx,
125326,Bronxville,Bronxville,
