id,name,name_en,name_de
1386,Baden-Württemberg,Baden-Württemberg,
1387,Bayern,Bavaria,
1388,Berlin,Berlin,
1389,Brandenburg,Brandenburg,
1390,Bremen,Bremen,
1391,Hamburg,Hamburg,
1392,Hessen,Hesse,
1393,Niedersachsen,Lower Saxony,
1394,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania,
1395,Nordrhein-Westfalen,North Rhine-Westphalia,
1396,Rheinland-Pfalz,Rhineland-Palatinate,
1397,Saarland,Saarland,
1398,Sachsen,Saxony,
1399,Sachsen-Anhalt,Saxony-Anhalt,
1400,Schleswig-Holstein,Schleswig-Holstein,
1401,Thüringen,Thuringia,
4743,Alabama,Alabama,
4744,Alaska,Alaska,
4745,American Samoa,American Samoa,
4746,Arizona,Arizona,
4747,Arkansas,Arkansas,
4748,Baker Island,Baker Island,
4749,California,California,
4750,Colorado,Colorado,
4751,Connecticut,Connecticut,
4752,Delaware,Delaware,
4753,District of Columbia,District of Columbia,
4754,Florida,Florida,
4755,Georgia,Georgia,
4756,Guam,Guam,
4757,Hawaii,Hawaii,
4758,Howland Island,Howland Island,
4759,Idaho,Idaho,
4760,Illinois,Illinois,
4761,Indiana,Indiana,
4762,Iowa,Iowa,
4763,Jarvis Island,Jarvis Island,
4764,Johnston Atoll,Johnston Atoll,
4765,Kansas,Kansas,
4766,Kentucky,Kentucky,
4767,Kingman Reef,Kingman Reef,
4768,Louisiana,Louisiana,
4769,Maine,Maine,
4770,Maryland,Maryland,
4771,Massachusetts,Massachusetts,
4772,Michigan,Michigan,
4773,Midway Atoll,Midway Atoll,
4774,Minnesota,Minnesota,
4775,Mississippi,Mississippi,
4776,Missouri,Missouri,
4777,Montana,Montana,
4778,Navassa Island,Navassa Island,
4779,Nebraska,Nebraska,
4780,Nevada,Nevada,
4781,New Hampshire,New Hampshire,
4782,New Jersey,New Jersey,
4783,New Mexico,New Mexico,
4784,New York,New York,
4785,North Carolina,North Carolina,
4786,North Dakota,North Dakota,
4787,Northern Mariana Islands,Northern Mariana Islands,
